Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-07-16,105.4,105.82,104.52,104.91,97.1401,21786900,2018,7,16,Monday,1.3,100.8925,99.6654,,101.502,-0.004932,-0.004944,0.220589,0.170671,BUY,0,0
2018-07-17,104.61,106.5,104.32,105.95,98.103,25901700,2018,7,17,Tuesday,2.18,101.147,99.8812,,101.9256,0.009913,0.009864,0.232689,0.171919,BUY,0,0
2018-07-18,105.94,106.05,104.72,105.12,97.3345,29493900,2018,7,18,Wednesday,1.33,101.36,100.0592,,102.2298,-0.007834,-0.007865,0.223032,0.17565,BUY,0,0
2018-07-19,104.93,105.31,103.89,104.4,96.6678,40171600,2018,7,19,Thursday,1.42,101.4865,100.231,,102.4365,-0.006849,-0.006873,0.214656,0.175809,BUY,0,0
2018-07-20,108.08,108.2,106.08,106.27,98.3993,56004000,2018,7,20,Friday,2.12,101.743,100.4176,,102.8016,0.017912,0.017753,0.236412,0.182238,BUY,0,0
2018-07-23,106.3,108.14,106.13,107.97,99.9735,29707000,2018,7,23,Monday,2.01,102.121,100.6188,,103.2938,0.015997,0.01587,0.256191,0.184371,BUY,0,0
2018-07-24,108.57,108.82,107.26,107.66,99.6864,26316600,2018,7,24,Tuesday,1.56,102.5845,100.818,,103.7097,-0.002871,-0.002875,0.252585,0.163841,BUY,0,0
2018-07-25,107.96,111.15,107.6,110.83,102.6216,30702100,2018,7,25,Wednesday,3.55,103.172,101.074,,104.3878,0.029445,0.029019,0.289467,0.186124,BUY,0,0
2018-07-26,110.74,111.0,109.5,109.62,101.5013,31372100,2018,7,26,Thursday,1.5,103.776,101.32,,104.8861,-0.010918,-0.010978,0.275389,0.179743,BUY,0,0
2018-07-27,110.18,110.18,106.14,107.68,99.7049,37005300,2018,7,27,Friday,4.04,104.2285,101.5306,,105.1522,-0.017698,-0.017856,0.252817,0.196934,BUY,0,0
2018-07-30,107.19,107.53,104.76,105.37,97.566,34668300,2018,7,30,Monday,2.77,104.5665,101.7144,,105.1729,-0.021452,-0.021686,0.225942,0.217042,BUY,0,0
2018-07-31,106.49,106.72,105.38,106.08,98.2234,27655200,2018,7,31,Tuesday,1.34,104.87,101.9088,,105.2593,0.006738,0.006716,0.234202,0.213714,BUY,0,0
2018-08-01,106.03,106.45,105.42,106.28,98.4086,23628700,2018,8,1,Wednesday,1.03,105.2315,102.0824,,105.3565,0.001885,0.001884,0.236528,0.208534,BUY,0,0
2018-08-02,105.4,108.09,104.84,107.57,99.6031,26104300,2018,8,2,Thursday,3.25,105.622,102.2838,,105.5673,0.012138,0.012065,0.251537,0.210397,BUY,0,0
2018-08-03,107.8,108.05,106.82,108.04,100.0383,18659600,2018,8,3,Friday,1.23,105.966,102.4714,,105.8028,0.004369,0.00436,0.257005,0.206966,BUY,0,0
2018-08-06,108.12,108.42,107.56,108.13,100.1216,20265900,2018,8,6,Monday,0.86,106.28,102.6678,,106.0245,0.000833,0.000833,0.258052,0.206736,BUY,0,0
2018-08-07,108.56,109.1,108.17,108.88,100.816,16080200,2018,8,7,Tuesday,0.93,106.618,102.8782,,106.2964,0.006936,0.006912,0.266778,0.207178,BUY,0,0
2018-08-08,109.33,109.75,108.76,109.49,101.3809,15487500,2018,8,8,Wednesday,0.99,106.9935,103.1078,,106.6006,0.005602,0.005587,0.273875,0.206575,BUY,0,0
2018-08-09,109.71,110.16,109.6,109.67,101.5475,13677200,2018,8,9,Thursday,0.56,107.2675,103.3222,,106.8929,0.001644,0.001643,0.275969,0.195314,BUY,0,0
2018-08-10,109.42,109.69,108.38,109.0,100.9272,18183700,2018,8,10,Friday,1.31,107.446,103.5254,,107.0936,-0.006109,-0.006128,0.268174,0.194446,BUY,0,0
2018-08-13,109.24,109.58,108.1,108.21,100.1957,18472500,2018,8,13,Monday,1.48,107.611,103.6738,,107.1999,-0.007248,-0.007274,0.258982,0.195669,BUY,0,0
