Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2022-06-03,116.0625,116.3215,113.5185,114.541,113.6021,26136000,2022,6,3,Friday,2.803
2022-06-06,116.7045,119.347,116.164,116.8205,115.8629,33542000,2022,6,6,Monday,3.183
2022-06-07,115.4805,117.691,115.052,117.1495,116.1892,31590000,2022,6,7,Tuesday,2.639
2022-06-08,116.7615,118.5705,116.6,117.194,116.2333,26108000,2022,6,8,Wednesday,1.9705
2022-06-09,116.3275,118.299,114.776,114.8355,113.8942,25798000,2022,6,9,Thursday,3.523
2022-06-10,112.445,113.279,110.366,111.1615,110.2503,41452000,2022,6,10,Friday,2.913
2022-06-13,106.7865,108.7915,106.119,106.3925,105.5204,47252000,2022,6,13,Monday,2.6725
2022-06-14,106.535,107.9245,105.8,106.7155,105.8407,33706000,2022,6,14,Tuesday,2.1245
2022-06-15,108.545,111.4235,107.6695,109.7645,108.8647,39698000,2022,6,15,Wednesday,3.754
2022-06-16,107.221,108.6485,105.138,106.0335,105.1643,51684000,2022,6,16,Thursday,3.5105
2022-06-17,106.0335,108.6995,105.046,107.1435,106.2652,51376000,2022,6,17,Friday,3.6535
2022-06-21,108.9295,112.4895,108.6,111.544,110.6296,47416000,2022,6,21,Tuesday,3.8895
2022-06-22,110.5565,113.3465,110.3825,111.4875,110.5736,30774000,2022,6,22,Wednesday,2.964
2022-06-23,112.2315,112.7425,110.5005,112.242,111.3219,28362000,2022,6,23,Thursday,2.242
2022-06-24,112.995,118.079,112.9525,117.975,117.0079,41164000,2022,6,24,Friday,5.1265
2022-06-27,118.273,118.5795,115.1795,115.8335,114.884,36420000,2022,6,27,Monday,3.4
2022-06-28,115.8025,117.3095,111.848,112.0075,111.0893,35792000,2022,6,28,Tuesday,5.4615
2022-06-29,111.552,113.1605,110.8725,111.7015,110.7859,24716000,2022,6,29,Wednesday,2.288
2022-06-30,110.0,110.888,106.75,108.963,108.0698,43170000,2022,6,30,Thursday,4.138
2022-07-01,107.933,109.25,106.7305,108.7375,107.8462,35476000,2022,7,1,Friday,2.5195
2022-07-05,107.1005,113.377,105.7315,113.263,112.3345,39342000,2022,7,5,Tuesday,7.6455
2022-07-06,113.302,115.5895,111.476,114.572,113.6328,37432000,2022,7,6,Wednesday,4.1135
2022-07-07,115.08,119.1895,114.8335,118.783,117.8093,40936000,2022,7,7,Thursday,4.356
2022-07-08,117.25,119.685,116.9015,119.3535,118.3751,38238000,2022,7,8,Friday,2.7835
2022-07-11,117.998,117.998,115.3305,115.6765,114.7283,31196000,2022,7,11,Monday,2.6675
2022-07-12,116.215,116.974,113.69,114.0205,113.0859,29960000,2022,7,12,Tuesday,3.284
2022-07-13,111.701,114.196,111.2015,111.3535,110.4407,43722000,2022,7,13,Wednesday,2.9945
2022-07-14,110.2105,111.093,108.373,110.3675,109.4628,37004000,2022,7,14,Thursday,2.72
2022-07-15,112.0005,113.1405,110.9,111.7775,110.8612,46770000,2022,7,15,Friday,2.2405
2022-07-18,112.64,113.68,108.37,109.03,108.1362,43164600,2022,7,18,Monday,5.31
2022-07-19,110.85,114.02,109.56,113.81,112.8771,36530900,2022,7,19,Tuesday,4.46
2022-07-20,113.17,115.4,112.48,113.9,112.9663,35600400,2022,7,20,Wednesday,2.92
2022-07-21,114.28,114.55,111.11,114.34,113.4027,32676200,2022,7,21,Thursday,3.44
2022-07-22,111.0,112.34,106.5,107.9,107.0155,48901200,2022,7,22,Friday,5.84
2022-07-25,108.41,109.87,106.3,107.51,106.6287,34690900,2022,7,25,Monday,3.57
2022-07-26,106.6,107.2,104.07,105.02,104.1591,47991000,2022,7,26,Tuesday,3.13
2022-07-27,109.26,113.91,108.01,113.06,112.1332,59858500,2022,7,27,Wednesday,5.9
2022-07-28,112.37,114.34,111.46,114.22,113.2837,32816600,2022,7,28,Thursday,2.88
2022-07-29,113.08,116.71,113.06,116.32,115.3665,37223400,2022,7,29,Friday,3.65
2022-08-01,115.3,116.72,114.34,114.86,113.9185,26034300,2022,8,1,Monday,2.38
2022-08-02,114.0,116.35,113.72,115.13,114.1863,20236000,2022,8,2,Tuesday,2.63
2022-08-03,115.71,118.62,115.48,118.08,117.1121,28499000,2022,8,3,Wednesday,3.14
2022-08-04,117.48,118.78,116.89,118.19,117.2212,21602900,2022,8,4,Thursday,1.89
2022-08-05,116.23,118.11,116.0,117.47,116.5071,19159500,2022,8,5,Friday,2.11
2022-08-08,118.39,120.15,116.88,117.3,116.3385,19138300,2022,8,8,Monday,3.27
2022-08-09,117.14,117.32,115.71,116.63,115.674,19086500,2022,8,9,Tuesday,1.61
2022-08-10,118.78,120.92,118.41,119.7,118.7188,30930400,2022,8,10,Wednesday,2.51
2022-08-11,121.28,121.49,118.56,118.84,117.8658,24293700,2022,8,11,Thursday,2.93
2022-08-12,120.26,121.68,119.46,121.68,120.6826,19096300,2022,8,12,Friday,2.22
2022-08-15,121.13,122.3,120.61,122.08,121.0793,19494800,2022,8,15,Monday,1.69
2022-08-16,121.52,122.43,120.64,121.7,120.7024,19041200,2022,8,16,Tuesday,1.79
2022-08-17,120.12,121.29,119.38,119.55,118.57,22847000,2022,8,17,Wednesday,1.91
2022-08-18,119.43,120.82,118.72,120.17,119.1849,17987700,2022,8,18,Thursday,2.1
2022-08-19,119.06,119.15,116.76,117.21,116.2492,21809500,2022,8,19,Friday,2.39
2022-08-22,115.2,115.63,113.85,114.24,113.3036,21456600,2022,8,22,Monday,1.78
2022-08-23,113.48,115.01,113.43,113.86,112.9267,15870400,2022,8,23,Tuesday,1.58
2022-08-24,113.5,114.78,112.87,113.69,112.7581,17734600,2022,8,24,Wednesday,1.91
2022-08-25,114.24,116.72,114.11,116.65,115.6938,16956800,2022,8,25,Thursday,2.61
2022-08-26,114.72,115.12,110.19,110.34,109.4355,37245700,2022,8,26,Friday,4.93
2022-08-29,109.99,110.95,108.8,109.42,108.5231,21191200,2022,8,29,Monday,2.15
2022-08-30,110.17,110.5,107.8,108.94,108.047,27513300,2022,8,30,Tuesday,2.7
2022-08-31,110.65,110.85,108.13,108.22,107.3329,28627000,2022,8,31,Wednesday,2.72
2022-09-01,108.28,110.45,107.36,109.74,108.8404,28360900,2022,9,1,Thursday,3.09
2022-09-02,110.59,110.74,107.26,107.85,106.9659,24160700,2022,9,2,Friday,3.48
2022-09-06,107.3,108.03,105.78,106.81,105.9344,25068300,2022,9,6,Tuesday,2.25
2022-09-07,107.06,109.98,106.9,109.45,108.5528,23167000,2022,9,7,Wednesday,3.08
